à		Vit, I, E
mê tín		Vit
đao kiếm		Nc, Ng
hấp thụ		Vta
dội		Vt
phụ kiện		Nc, Ng
tên tuổi		Nc, Ng
ngoa ngoắt		Aa
olympic		Np
tiếp phòng		Vt
thiên lương		Na
me-tan		Np
diễn đạt		Vt
cụt hứng		Aa
kì khôi		Aa
đồi		Nc, Ng
tiểu tu		Vit
quát mắng		Vt
mỡ cơm xôi		Nc, Ng
ngã		Na
say như điếu đổ		X
trà mi		Nc, Ng
nằm mơ		Vit
đu bay		Nc, Ng
đỏng đảnh		Aa
lác		Nc, Ng, Aa
lỗi thời		Aa
sâu cuốn lá		Nc, Ng
mạo xưng		Vt
ngấm ngoảy		Vit
trung nông		Na

tuồn		Vit, Vt
hờn mát		Vit
chung		Nc, Ng, Vt, Aa
hồng ngọc		Nc, Ng
nhoáy		Aa
von vót		An
mọt ruỗng		Aa
long cung		Nc, Ng
ngày đường		Na
nông trường		Nc, Ng
thổ sản		Nc, Ng
táo ta		Nc, Ng
kẽo kẹt		Vit
đặt hàng		Vit
cạm		Nc, Ng
cờ chó		Nc, Ng
sát sườn		Aa
quên mình		Vit
lên khung		Vit
phương kế		Na
trung bình cộng		Na

mĩ miều		Aa
danh định		Vit
hàn hơi		Vit
o bế		Vt
gió		Nc, Ng
nóng ruột		Aa
ngàn trùng		Na
nguếch ngoác		Aa
phiên hiệu		Na
tháng ba ngày tám		X
thực tài		Na
mùi soa		Nc, Ng
gánh vác		Vt
dạm		Vt
một khi		Na
tuavit		Np
nữ vương		Nc, Ng
ngày tiết		Na
khí tượng học		Na
sinh trưởng		Vit

màu bột		Nc, Ng
hình nộm		Nc
hôm kia		Nl
đếm		Vt
ha hả		Aa
nuốt sống		Vt
thút		Vit
ngấu nghiến		Aa
tetracyclin		Np

trứng cá		Nc, Ng
krona		Np
đi sâu		Vit
dợn		Na, Vit
lầu hồng		Nc, Ng

tẩy trần		Vit
quốc huy		Nc, Ng
ngay thẳng		Aa
trắng trong		Aa

sắm nắm		Aa
kèm nhèm		Aa
giáo đầu		Vit
đến		Vto, Cc, Cm, I
khá		Vt, Aa, Jd
tớ		Na, Pp
nhãn quang		Na
nhũng nhiễu		Vt
ngốc		Aa
quyên sinh		Vit
tín nghĩa		Na
mật ước		Nc, Ng, Vt
ép uổng		Vt
giấy dậm		Nc, Ng
đáo		Nc
thạch nhũ		Na
tin vui		Na
máy nivô		Nc, Ng
kính lão đắc thọ		X
trắng phếch		Aa

uốn tóc		Vit
hoán vị		Na, Vt
định lí đảo		Na
ngâm khúc		Nc, Ng
gẫm		Vt, Vim, Vtim
ngộ		Aa, Cc
lọi		Vt
kính dưỡng mục		Nc, Ng
nhác		Vt, Aa
tam giác vuông		Nc, Ng
tinh ma		Aa
méo mặt		Aa
formica		Np
gợi tình		Vit, Aa
lại giống		Vit
lính giản		Nc, Ng
quan yếu		Aa
nói vã bọt mép		Vit
phao tiêu		Nc, Ng
phóng thanh		Vit

tẩn mẩn		Aa
lờm xờm		Aa
ether		Np
gieo rắc		Vt
gam		Np
hạ chí		Na
mỹ đức		Na
màn hiện sóng		Nc, Ng
tê-lê-phon		Nc, Ng, Vit
thượng giới		Na
xíu mại		Nc, Ng
suỵt		Vt, E
hét ra lửa		X
địch tình		Nc, Ng
hành nghề		Vt
gáo		Nc, Nu
trust		Np
ngựa non háu đá		X
rười rượi		Aa
rời		Vit, Aa

va-rơi		Np
mềm nhũn		Aa
hoá trị		Na
giả như		Cc
hán		Nc
ghế dựa		Nc, Ng
nội		Nc
suy sụp		Vit, Vt
quần phăng		Nc, Ng
tràn cung mây		Jd
vi tiểu hình hoá		Vit
tu sửa		Vt
hút mật		Nc
giòn rụm		Aa
hoành cách		Ng
hoà		Vt, Vit, Aa

nồi áp suất		Nc, Ng
nghệ thuật		Na
sới		Na
thuyền thúng		Nc, Ng
uốn nắn		Vt
sưu		Na
láo nháo		Aa
hoà hiếu		Aa
cấm địa		Nc, Ng
học kỳ		Na
mỹ lệ		Aa
quầy quả		Aa
phụ quyền		Na
thường khi		X
vi-ô-lông-xen		Np

lâu năm		Na
đèn chiếu		Nc, Ng
hiện hành		Aa
lóc cóc		Aa, Jd
phượng		Nc, Ng
thau tháu		Aa
nhất thiết		Jd
thùng thình		Aa
thôn trưởng		Nc, Ng

từng lớp		Na
lăm xăm		Aa
đục khoét		Vt
dẫn độ		Vit
chè lá		Nc, Ng
móm		Aa
liếc		Vt
thiên tính		Na
nghiêm nhặt		Aa

xen-lô		Np
lo buồn		Vitim
dược chất		Nc, Ng
hình tích		Na
eo óc		Aa
hớp		Nu, Vt
rèn luyện		Vt
quốc trạng		Na
phê duyệt		Vt
rạch		Nc, Ng, Vt
thụ phấn nhân tạo		Na
vô thức		Na, Aa
nha môn		Nc, Ng
gián đoạn		Vit
dột		Aa
chàm		Na
Nxb		X
gàn dở		Aa
nhãng quên		Vt
thân bằng cố hữu		Np
thép hợp kim		Nc, Ng

nữ trầm		Na
hình mẫu		Ng
hành lang		Nc
địt		Vit
pha		Na, Vt
thuế quan		Na
lương lậu		Nc, Ng
nửa thành phẩm		Na
nhà đương chức		Nc, Ng

tình thế		Na, Aa
mít ráo		Nc, Ng
hoá tính		Na
khăm khắm		Aa
chẵn		Aa
sinh khí		Na
quăm quắm		Aa
nguyên bản		Na
mượn gió bẻ măng		X
thuyết hỗ trợ		Na

mĩ quan		Na
kiếm tìm		Vt
hánh nắng		Vit
kịch tác gia		Nc, Ng
đẳng		Nc, Nl, Nu
giùi		Nc, Ng, Vt
nhũ đá		Nc, Ng
siêu cường		Na
kì hạn		Na
tranh tôn giáo		Nc, Ng
trọc hếu		Aa
sẻn so		Aa
ét xăng		Nc, Ng
giới sát		Vit
kỳ mục		Nc, Ng
phù voi		Na
sán xơ mít		Nc, Ng
ni trưởng		Nc, Ng
thong dong		Aa
tổng công kích		Vit
thương lượng		Vit
tẩu cẩu		Na
mát lành		Aa
di tinh		Na
láng cháng		Vit
đình		Nc, Ng, Vt
gò gẫm		Vit
rán sành ra mỡ		X
nguyên cáo		Na
mèng		Aa


ướt mèm		Aa
huyện		Nu
hoá thân		Vtb
êta		Np
quân gia		Nc, Ng
tứ tuyệt		Na
quật cường		Vit
mê như điếu đổ		X
thương hại		Vt, Vim, Vtim
trăm cay ngàn đắng		Aa

nem chua		Nc, Ng
được việc		Aa
hiền thê		Ng
đin		Np
giả lả		Vit
quân quản		Vit
nghè		Na
nhắm		Vt
siêu vi khuẩn		Nc, Ng
truy phong		Vt
toán tử		Na
kiến tạo		Na, Vt
giản lược		Aa
mắc mớ		Na, Vt
dôi		Vt, Aa

suy tính		Vitim
nhiệt lượng		Na
the		Na, Aa
trung bình nhân		Na

nhẵn mặt		Vit
kín nhiệm		Aa
khâm mệnh		Vt
hẩu		Aa
giẵm		Vt
thuận tiện		Aa
nghĩa		Na
tẩm bổ		Vit
trình dược viên		Nc, Ng


mặt mày		Nc, Ng
gàu sòng		Nc, Ng
khinh rẻ		Vt, Vim, Vtim
quốc sách		Na
phủ đệ		Nc, Ng
tốt tươi		Aa
thất thiệt		Vit
phân tươi		Nc, Ng


nựng nịu		Vt
lanhtô		Nc, Ng
hiền nhân		Ng
ken		Vt, Aa
giãn		Vit
rởn		Vt
nhủi		Nc, Vt
phát tướng		Vit
ổ		Nc, Nt
thương vong		Na, Vit

mạo muội		Vt
đồng tiền		Nc
khai sáng		Vt
cơ lỡ		Aa
giảo		Vit
ruột thịt		Aa
thực quyền		Na
tháo cũi sổ lồng		X
tỉ giá		Na
quyết chiến điểm		Nc, Ng

luận lý học		Na
khoan hoà		Aa
lặt		Vt
địa ngục		Nc, Ng
khổ chủ		Nc
kham		Vt
nguyên lai		Na
thênh thang		An
trạng nguyên		Nc, Ng

ôn vật		Na
khí quản		Nc, Ng
hình dong		Ng
éo le		Aa
háy		Vit
tuyệt tác		Nc, Ng
quay cuồng		Vit
máy hơi nước		Nc, Ng
tha hồ		Jd
trúng thương		Vit
vẫn thạch		Na
nhần nhận		Aa
khô dầu lá		Nc, Ng
lếu		Aa
chết		Vit, Vt, Vits, Aa
mủng		Nc
lĩnh		Nc, Ng, Vta
thị trưởng		Nc, Ng
phong thuỷ		Nc, Ng
toà thượng thẩm		Na
thượng nghị viện		Nc, Ng
quán từ		Na
hữu tình		Aa
giám quốc		Nc
kế vị		Vt
hay		Vt, Vim, Vtim, Aa, Jr, Cc
giúp		Vt
ruồi trâu		Nc, Ng
rung rinh		Vit
rặng		Na

vững mạnh		Aa
tảo trừ		Vt
khảo tra		Vt
mẫu		Nc, Ng
dạ dày		Nc, Ng
chúng		Ng, Pp, Jd
ngấn		Nc, Vt
ti trưởng		Nc, Ng
nắm đằng chuôi		Vit
symposium		Np

sát nút		An
lâu nay		Na
giun dẹp		Nc, Ng
lỏng khỏng		Aa
đốn đời		Aa
phi		Na, Vit, Vt, Cc
rap		Na
thuyền bồng		Nc, Ng
rình		Vt
vô hình trung		Jd

tân văn		Na
loại trừ		Vt
lo phiền		Vitim
hạ du		Na
dòng họ		Nc, Ng
nhũn		Aa
tập quyền		Vit
quyết nghị		Na, Vit
tuyên dương		Vt

tốt nết		Aa
miễn trừ		Vt
hãnh tiến		Aa
ngôi thứ		Na
đề huề		Aa
hào chỉ		Nc, Na
quản trang		Nc, Ng
thảo cầm viên		Nc, Ng
sa ngã		Vit
thi bá		Na
vòng vo		Aa
stato		Np
kho tàu		Vit
hoạnh tài		Na
khai hoang		Vit
đại đao		Nc, Ng
xán		Vt
nhỏ dại		An
nhảy cà tưng		Vit
tha phương		Na
xuôi chèo mát mái		X
tuần tự		Jr
mát tính		Aa
kín tiếng		Aa
hơi ngạt		Nc, Ng
đuổi		Vt
ghịt		Vt
khỉ gió		Nc, Ng
phẩm		Nc, Ng
quá cố		Vit
mách bảo		Vt

tuế toá		Aa
nhân văn		Aa
huynh		Nc
in ấn		Vt
cổ tự học		Na

tiền duyên		Na
quyết sách		Na
tre già măng mọc		X
thu nhập quốc dân		Na

mẫu quốc		Nc, Ng
kim anh tử		Nc
gàn bát sách		Aa
này		Pp, I
đổi mới		Na, Vt
phái bộ		Nc, Ng
phẫn		Na, Vitim
tha ma		Na
mối lái		Na, Vit


măng non		Nc, Ng
lật phật		Aa
lười biếng		Aa
cựu học		Na
hải đạo		Ng
tam trường		Na
quang vinh		Aa
trăm thứ bà giằn		Na


tạo vật		Na
lưu hoá		Vit
ngo ngoe		Vit
quà		Nc, Ng
định kỳ		Na, Aa
giạng		Vt
ngoác		Vt
nguyên thủ		Nc, Ng
nhỏ nhẹ		Aa, An
thụ tinh nhân tạo		Na

nước rút		Na
khẩn yếu		Aa
mũ mấn		Nc, Ng
da láng		Nc, Ng
dở chứng		Vit
trưng mua		Vt
ruột để ngoài da		X

phụ từ		Na

tùm lum		Aa
màu nhiệm		Aa
liên hoàn		Aa
lon		Nc, Nu
đặc hữu		Aa
giành		Nc, Vt
nợ đọng		Na
suy thoái		Vit
nhanh		Aa
ứ hự		E
xe cút kít		Nc, Ng
rầu rầu		Aa
khấu trừ		Vt
FOB		Np
lân la		Vt
kênh		Nc, Ng, Vt, Aa
tự truyện		Na
thảm thực vật		Nc, Ng
phiêu lưu		Vit, Aa
thuyết trình		Vt

vần vật		Aa
nhuần nhị		Aa
liên hoan		Nc, Ng, Vit
kinh dinh		Vit
đặc kịt		Aa
hạ sách		Na
nhà đèn		Nc, Ng
tác giả		Nc, Ng
rút cục		Jr
ưu khuyết điểm		Na

than vãn		Vit
máy tiện		Nc, Ng
hoang sơ		Aa
lev		Np
dông		Nc, Ng, Vit
hội hoạ		Na
trồng trọt		Vt
tàu chở máy bay		Nc, Ng
sà lúp		Nc, Ng


tam tam chế		Na
lâu nhâu		Vit
khám đường		Nc, Ng
đớn hèn		Aa
địa chính		Na
ngáng		Nc, Vt
khiển		Vt
thông thuộc		Vt
ván đã đóng thuyền		X

tỷ suất		Na
lao lung		Na, Aa
khúc côn cầu		Nc, Ng
microfich		Np
đơn bạc		Aa
kịch câm		Nc, Ng
tối tăm mặt mũi		Aa
song âm tiết		Aa
sức kéo		Na


tin buồn		Na
lưu đãng		Vit
in thạch bản		Vit
guộn		Vt
dát gái		Aa
húng chó		Nc, Ng
li lai		Vtc
pháp tuyến		Na
lỵ		Nu
trinh nguyên		Aa

ngẩn tò te		Vit
kính đổi màu		Nc, Ng
bủ		Na
kéo co		Na
goòng		Nc, Ng
phụ gia		Vit
quềnh quàng		Aa
rui		Na
thời kỳ		Na

vu vơ		Aa
nổi tam bành		Vit
khí tượng		Na
dự trữ		Na, Vt
cốt khí		Nc
gông		Nc, Ng, Vt
ngũ sắc		Na
thất thường		Aa
mỏ		Nc, Ng
hực		Aa

muôn dân		Ng
miễn cưỡng		Vt
cũ		Aa
kêu ca		Vit
điện đài		Nc, Ng
sắc đẹp		Na
phất		Vt
nhoay nhoáy		Aa
thằng		Na


quá tay		Aa
khát vọng		Na, Vt, Vim, Vtim
lận đận		Aa
dù rằng		Cc
hèn chi		Cc
nằm bếp		Vit
súng trường		Nc, Ng
nữ		Nc, Ng, Aa


quốc tuý		Na
ngọt nhạt		Aa
dỡ		Vt
được mùa		Vit
hào hển		Aa
khe khé		Aa
rời rã		Vit
thiên la địa võng		Np
quạch		Na

vạn toàn		Aa
thư tín		Nc, Ng
máy khoan		Nc, Ng
đố		Na, Vt, Ja
cu gấm		Nc, Ng
cúng cấp		Vt
mỡ màng		Nc, Ng, Aa
nhẹ bỗng		An
thung thăng		Aa
thuyết tiến hoá		Na

tuỳ tiện		Aa
leo trèo		Vit
kinh doanh		Vit
lên án		Vt
đúng đắn		Aa
giấy dó		Nc, Ng
ngư cụ		Nc, Ng
tay làm hàm nhai		X
oxid		Np
thuần phong mỹ tục		Na

trục vít		Nc, Ng
lêninit		Aa
màu mỡ		Aa
cung		Nc, Nu, Na, Vt
dâu gia		Nc, Ng
tham dự		Vt
sai dịch		Na

toà án thượng thẩm		Na

vớt vát		Vt
nhon nhón		Aa
ngoa ngôn		Na
lườn		Nc, Ng
đánh số		Vt
hắt hủi		Vt
phục hồi		Vt
nhiều chuyện		Aa
sai nha		Nc, Ng


vui mắt		Aa
mũ cánh chuồn		Nc, Ng
leo khoeo		Aa
di sản		Nc, Ng
dáng dấp		Na
phân bắc		Nc, Ng
thân củ		Nc, Ng
tổng tiến công		Vit
móc		Nc, Ng, Vt


tàu nhanh		Nc, Ng
nên người		Vitb
lề lối		Na
đạo ôn		Na
đôi co		Vit
hành giả		Ng
ra đi ô		Nc, Ng
quân		Nc, Ng
tắc họng		Vit

véo von		Aa
optiman		Aa
lưng lửng		Aa
hễ		Cc
đảo điện		Nc
phân cục		Nc, Ng
rưởi		Na
tài khoản ký quỹ		Na
nực		Aa

vu vu		Aa
suôn sẻ		Aa
nhôn nhao		Aa
long đong		Aa
e thẹn		Vitim
định ngữ		Na
hiện giờ		Na
rải rác		Aa
tím gan		Aa
rệ		Na, Vt


mạng sườn		Nc, Ng
mỡ để miệng mèo		X
hùa		Ng, Vt
dự nhiệm		Aa
hoàng đế		Nc, Ng
phi đội		Nc, Ng
trung phẫu		Na

trị giá		Vt

tham luận		Nc, Ng, Vit
nhanh nhẩu		Aa
người máy		Nc, Ng
kị nước		Aa
giở mặt		Vit
hộp đêm		Nc, Ng
nhảy dù		Vit
tươi hơn hớn		Aa
opera		Np
thiếu sinh quân		Nc, Ng

quanh năm		Na
ngượng mồm		Vit
kì		Nc, Nu, Vt, Aa, Cc
drachma		Np
đẩy lùi		Vt
tuyệt tình		Vit
thương tật		Na
thì thà thì thầm		Vit, Aa
thư chuyển tiền		Nc, Ng


soạn thảo		Vt
nông choèn		An
maket		Np
đồng tộc		Aa
giếng mỏ		Nc, Ng
ngói ta		Nc, Ng
nghiệm		Na, Vit, Aa
tâm nhĩ		Nc, Ng
xuyên tâm liên		Na

quán trọ		Nc, Ng
như vầy		X
lẽ		Na
kỹ sư		Nc, Ng
ho hen		Vit
phục hoá		Vit
số siêu việt		Na
tiêu diệt chiến		Na
ru hời		Vit


siêu tần		Aa
nguyên cớ		Na
luận đề		Nc, Ng
đổ vấy		Vt
động chạm		Vt
nhiễu		Nc, Vt
tuổi hồi xuân		Na
thoang thoảng		Vt
hợm		Na, Vt

tẩm quất		Vit
quá lứa lỡ thì		Aa
khấu đuôi		Ng
chó		Nc, Ng
dẫn chứng		Na, Vt
khai hoả		Vit
rất đỗi		Jd
siêu tự nhiên		Aa
ra ràng		Vit


tia vũ trụ		Nc, Ng
nói gần nói xa		X
mùn cưa		Nc, Ng
đền mạng		Vit
hàng xứ		Na
nhất là		X
nhiễm độc		Vit
tiết dục		Vit
mi		Nc

trầm uất		Vit
suy diễn		Vit
mùa		Na, Aa
cùi		Nc, Na
đầu đảng		Nc, Ng
hiểm hoạ		Na
phức hợp		Aa
strychnin		Np
rút gọn		Vt
tôi đòi		Na

sột soạt		Aa
nhão nhoét		Aa
metan		Np
đảm nhận		Vt
cưỡng bức		Vt
kỳ khôi		Aa
nan giải		Aa
trung lập hoá		Vt
mia		Np

vuốt ve		Vt
nội tiết tố		Nc, Ng
miệng ăn núi lở		X
dời		Vto
đuốc hoa		Nc, Ng
đội xếp		Nc, Ng
truyện ngắn		Nc, Ng
rung chuyển		Vt
sâu đậm		Aa
tai hồng		Nc, Ng


quy lát		Nc, Ng
liên thanh		Nc, Ng, Aa
đổi		Vt
chúng ta		Pp
hơi hám		Nc, Ng
ngả ngốn		Aa
trung học cơ sở		Na
lò mò		Vit

vun vào		Vit
nữ trung		Na
ngoéo tay		Vit
lạc		Nc, Ng, Vt
kỉ yếu		Nc, Ng
điên đảo		Aa
khoái chí		Aa
thắng địa		Na
san lấp		Vt
thể tích		Na


quạt máy		Nc, Ng
ngẫu nhiên		Aa
khoáng sàng		Nc, Ng
dắt dây		Vit
hạn ngạch		Na
sơ mi		Nc, Ng
trong trắng		Aa
lũn		Aa
cứng		Aa

quan trắc		Vt
thư tay		Nc, Ng
cằm		Nc, Ng
cử chỉ		Nc, Ng
gặp mặt		Vt
giúp sức		Vit
phó mát		Nc, Ng
thần tử		Na
rừng núi		Nc, Ng
rỗng tuếch rỗng toác		Aa

thu lượm		Vt
thanh niên		Nc, Ng, Aa
màu sắc		Nc, Ng
giồ		Aa
hơi sức		Na
phân cách		Vt
vả chăng		Cc
nạm		Nc, Nu, Vt
di lý		Vt

tuẫn táng		Vit
non sông		Nc, Ng
dằm		Nc
lạt lẽo		Aa
địa sinh		Vit
hợp thức		Vt
nho nhã		Aa
thượng tướng		Nc, Ng
thân sĩ		Nc, Ng
lái đò		Nc, Ng

tranzito		Np
mộng tưởng		Na
đệm		Nc, Ng, Vt
hài		Nc, Vt, Aa
hành xác		Vit
quê mùa		Aa
nô giỡn		Vit

ưa thích		Vt

tiểu luận		Nc, Ng
quê quán		Na
dùn		Aa
mĩ viện		Nc, Ng
ganh đua		Vt
giấy dó lụa		Nc, Ng
kỹ nghệ gia		Nc, Ng
sấp bóng		Na
ro ro		Aa
lặp		Vt

quạu quọ		Vit, Aa
quờ quạng		Vit
đòn		Nc, Nt
khẻ		Vt
gabardin		Np
nghèo đói		Aa
sùng đạo		Vit

thợ máy		Nc, Ng


quỹ tín dụng		Na
minh quân		Nc, Ng
đạo		Na
gallon		Np
hành hạt		Vit
logic học		Na
phản ánh		Vt
sờn lòng		Vit
mép		Nc, Ng

tuần ty		Na
nhược tiểu		Aa
ót		Nc, Aa
gấm		Nc, Ng
foxep		Np
giường		Nc, Ng
sắp đặt		Vt
xuất phát điểm		Na
tưởng bở		Vit
thứ phẩm		Nc, Ng

toát yếu		Na, Vit
tay thước		Nc, Ng
oe		Aa
hiệu uý		Na
định thức		Na
hát khách		Nc
sinh kế		Na
tử cung		Nc, Ng
núp		Vt
hóng		Vt

quằn quại		Vit
ngoại tệ mạnh		Nc, Ng
gàn		Vt, Aa
hách		Aa
giá như		Cc
thủ đoạn		Na, Aa
thuế thu nhập		Na
thủ quĩ		Na
thi thể		Nc, Ng
vun vút		Aa
soàn soạt		Aa
quấy quả		Vt
quá lắm cũng chỉ	X	
gạo		Nc, Ng
hân hoan		Aa
hối bất cập		Vit
nháo nhác		Aa

rầm		Na, Vit, Aa
hú hồn		Vit

thất trận		Vit
nhất viện chế		Na
hạn		Na, Vt
gia cố		Vt
hoang báo		Vt
ngày giờ		Na
tài khoá		Na
thương yêu		Vt, Vim, Vtim
lỗ đáo		Nc, Ng


quý tướng		Na
thôi sơn		Aa
hoả		Ng
đeo đuổi		Vt
hiện hình		Vit, Vs, Vits
sán dây		Nc, Ng
thuyền thoi		Nc, Ng
rặn		Vt
kỳ ngộ		Vit

tắt lửa tối đèn		X
quyền biến		Vit
coca		Np
hô		Vt, Aa
giao kết		Vt
kíp chầy		Aa
the thé		Aa

tiếp nối		Vt


rượu ngọt		Nc, Ng
rong ruổi		Vit
lọc cọc		Aa, Jd
dương		Na, Aa
hoàng đạo		Na
ngỗ nghịch		Aa
rộng cẳng		Aa
nể sợ		Vt, Vim, Vtim
địa chấn		Na

tuyệt nọc		Vit
mang nặng đẻ đau		X
dễ sợ		Jd
chí lí		Aa
hái lượm		Vt
phong ba		Na
tả xung hữu đột		Vit

thành ra		Cc


starter		Np
nhà trường		Nc, Ng
kèo		Nc, Ng
hợp		Ng
hằng tâm		Aa
nói bóng gió		Vit
tách biệt		Vt, Aa
tẩn		Vt
làm ải		Vit
lợi ích		Na
tròn trặn		Aa
tàu điện ngầm		Nc, Ng
dở ẹt		Aa
chạm		Vt
khấn vái		Vt
khắt khe		Aa
thi đua		Vt
sài giật		Na
thể tình		Vit
rúp		Na

tẩu thoát		Vit
phế truất		Vt
đót		Nc
kính mát		Nc, Ng
hậu chiến		Aa
kinh kịch		Nc, Ng
nói điêu		Vit
tương đương		Aa
mình		Nc, Ng, Pp
mục đích		Na
tiền tuất		Na
tâm thuật		Na
mãn ý		Vit
chắn		Nc, Ng, Vt
hậu điểu		Ng
góp nhặt		Vt
sấy tóc		Vit
sơ giao		Aa
thanh tú		Aa
loại		Nu, Vt


quyền cước		Nc, Ng
lăn		Vit
đắng		Aa
diệp lục tố		Ng
liên hợp		Nc, Ng, Vt, Aa
sâu bệnh		Nc, Ng
truyện phim		Nc, Ng
nhắn		Vt
mía chi		Nc, Ng

rượu vang		Nc, Ng
nạn		Na
làm bé		Vit
hươu		Nc, Ng
hoàng anh		Nc
ngấp nghé		Vtc
rảnh rỗi		Aa
trọng nể		Vit
nhoè		Aa


tập luyện		Vt
năm		Nu
đỉnh		Nc, Ng
đường cao		Nc, Ng
hiệp đoàn		Ng, Vt
thân tộc		Nc, Ng

vào		Vto, Cm, I
lơi		Vt, Aa

trào lưu		Na
quay vòng		Vt
êu		E
lay lắt		Vit, Aa
giao nhận		Vt
phân định		Vt
tạp chất		Nc, Ng
trăng khuyết		Nc 
tinh mũi		Na
hoài của		E

truyền kì		Aa
thất thiệt		Aa
đồn ải		Nc, Ng
gọi là		X
khiếp vía		Aa
pháp định		Aa
vật bất ly thân		X
vàng rộm		Aa
nối dõi		Vt
vô sản chuyên chính		Na
titanium		Np
tôn trọng		Vt
mĩ cảm		Na
dúi dụi		Vit
giá trần		Na
khoảng âm		Nc, Ng
quốc lập		Aa
văn hoá quần chúng		Na
rít		Na, Vit
lò đứng		Nc, Ng
nghỉ hè		Vit
tạm quyền		Vt
trai tráng		Nc, Ng, Aa
hậu		Aa
giặm		Vt
hoạt động		Na, Vt, Aa
pháp điển		Na
vệ tinh nhân tạo		Nc, Ng
xúc cảnh sinh tình		Vit
mộc nhĩ		Nc, Ng


suy yếu		Vit, Aa
nhị nguyên		Aa
may sẵn		Vit
đục nước béo cò		X
khải hoàn ca		Nc, Ng
phấn khích		Aa
thức thời		Aa
sót		Vt
khít		An

vướng víu		Vit
quy chuẩn		Na, Vit
két		Nc, Aa
gián		Nc, Ng
lanh chanh		Aa
xalông		Np
tiễn chân		Vt

tà dâm		Aa


xuân thu		Na
thủ trưởng		Nc, Ng
cục súc		Aa
giáo		Nc, Na, Vt
hoàn chỉnh		Vt, Aa
sơ lược		Aa
thu chi		Vit
tịt		Na, Vit, Aa
lira		Np
phụ lục		Nc, Ng
suy luận		Na, Vit
thống suất		Vt
lật		Vt
điền bạ		Nc
khổ học		Vit
loi choi		Vit, Aa
tôm càng		Nc, Ng

thẽ thọt		Aa
măng đá		Nc, Ng


tong tong		Aa
ê cu		Np
hẩy		Vt
giáo sư		Nc, Ng
thính giác		Na
thân thế		Na

mãn đời		Aa
khểnh		Vit, Aa
tu luyện		Vit
thẳng tuột		Aa
líu		Vt
chí ít		Aa
khoán ước		Nc, Ng
pháo lệnh		Nc, Ng
vệ sinh		Na, Vt, Aa

tulip		Np
nóng bức		Aa

trếu tráo		Jd
thanh xuân		Aa
kì vĩ		An
hoả kế		Nc
hải đội		Ng
lừng khừng		Aa
thạch lựu		Nc, Ng

ngu		Aa
hiến kế		Vt

quăn queo		Aa
mấu		Nc, Ng
dạy dỗ		Vt
chứ lại		I
mèo mả gà đồng		X
tiết phụ		Na
tay nghề		Na
tuổi thọ		Na
tháo		Vt


trăng tròn		Nc, Ng
nhẹ mồm nhẹ miệng		Aa
e-líp		Np
hậu thân		Na
ngồi dãi thẻ		Vit
thoái vị		Vit
tranh bá đồ vương		Vit
nề nếp		Na, Aa
hộ mệnh		Vit

quốc sử quán		Nc, Ng
nậu		Nc
hạ màn		Vit
đản bạch		Nc
hôn nhân		Na
khảo thích		Vt
trung chuyển		Vt
trắc trở		Na, Aa
toi		Vit
nghẹo		Nc, Vt

tiền duyên		Na
nư		Na
đề tài		Nc, Ng
háo hức		Aa
khang kiện		Aa
thực tiễn		Na, Aa
treo giò		Vit
tục tử		Na
lao dịch		Na

tiu nguỷu		Aa
tôi luyện		Vt
kỳ cựu		Na
đay đả		Vit
hưu bổng		Na
mồ hôi mồ kê		Nc, Ng
toả chiết		Vit

uy		Na
nâng cốc		Vit

tranh vui		Nc, Ng
quấy nhiễu		Vt
đuối		Aa
giả đận		Vt
gầy yếu		Aa
tin mừng		Na
truân chuyên		Aa

lỗ mãng		Aa
kiềm chế		Vtv
sướt mướt		Aa
thư lưu kí		Nc, Ng
in ỉn		Vit
cố chết		Vit
liên liến		Aa
nghiêm cẩn		Aa
sơ thảo		Na, Vit
xương đồng da sắt		X
xỉ vả		Vt
nô dịch		Vt, Aa
phúng		Vt
tuần trăng		Na
suất điện động		Na
nảy		Vtb
đời mới		Na
ngoại vi		Na
thiên địch		Na
váng mình sốt mẩy		Aa

kín nhẽ		Aa
kịch nói		Nc, Ng
xuất trận		Vit
quyền môn		Na
nam ai		Nc, Ng
dị biệt		Vitc, Aa
hăm he		Vt
nhạt phai		Vit
thuỷ điện		Na
rồng rồng		Nc, Ng
vịt cỏ		Nc, Ng
khổ não		Aa
phiếm		Aa
vun trồng		Vt
thẩm quyền		Na
quả		Nc, Ng, I
đỏ chót		Aa
giằng		Nc
minh chứng		Na, Vt
vang mình sốt mẩy		Aa

nói tục		Vit
lâm li		Aa

sở hữu toàn dân		Na
mỹ mãn		Aa
dai sức		Aa
dở hơi		Aa
giọt sành		Nc, Ng
nghe ngóng		Vt
thổi ngạt		Vit
tóm thâu		Vt
lầy lụa		Aa
nồi hấp		Nc, Ng
thuật toán		Na
tuyệt thực		Vit
lụa đậu		Nc, Ng
đặc tài		Na
giảnh		Vt
lăng nhăng		Vit, Aa
thói phép		Na

sơn		Na, Vt
